time,x,y,z,x_velocity,y_velocity,z_velocity
1,114.619104268,150.0,122.3883007,22.4377530768,61.0421733577,28.8624461055
2,114.702922409,150.0,122.841248055,22.4149958135,60.8377585676,29.1087214087
3,115.859158416,150.0,128.493478008,28.857308193,118.781491622,63.0928515815
4,150.0,150.0,88.2266512502,163.58859976,170.232230308,-2.17464537871
5,150.0,115.231517546,140.745647766,902.953458844,106.342822292,341.513985347
6,150.0,132.997155074,149.055686759,77.3826626333,42.8622674479,45.5758378949
7,150.0,114.401182622,130.347335253,62.333417022,51.9642298156,55.1262260452
8,150.0,104.603833806,147.606189726,82.6679378744,40.1548258701,93.2989460695
9,150.0,128.780156022,158.324387983,106.079490956,142.307011715,126.53395247
10,150.0,138.06219002,133.370916533,691.663964205,266.593879462,48.62466882
11,150.0,145.107606509,130.280756052,74.1184321552,65.5044260838,64.0064300385
12,144.431295465,150.0,147.829797501,421.004203105,824.597817072,-23.2921152458
13,125.593638429,150.0,140.271521366,340.050922297,524.706066575,193.091581844
14,134.257387089,150.0,161.654736815,30.7008215655,104.153794136,103.301990056
15,123.205465469,150.0,130.511273359,70.1128525384,110.697885033,72.140961945
16,150.0,150.0,124.579210497,176.019278578,292.344752416,85.1057475603
17,150.0,144.843071063,132.356783954,50.1665557463,39.8014776025,41.8982165734
18,150.0,147.71058924,127.321263405,68.4663767892,63.5308992475,78.4613446746
19,139.825334578,150.0,134.967960266,442.033197814,190.712259979,254.22810492
20,150.0,144.398543969,183.41290283,54.1498911092,23.9618460252,77.3671951602
21,150.0,144.24351752,117.812707569,29.8576283857,24.6978014888,12.2982156012
22,137.704908092,150.0,151.762920705,220.819778494,326.481243388,480.011733966
23,150.0,150.0,153.718157999,538.563041052,525.601606958,140.783692073
24,146.803787633,150.0,123.006260942,200.351530906,251.607269753,210.173854266
25,150.0,145.295323924,115.127329459,144.320495525,218.905894879,164.106166712
26,150.0,146.487550033,159.211928226,125.2259668,107.739645414,216.038076693
27,150.0,135.511179419,157.049657258,50.9822874398,44.6601415547,53.9025277688
28,150.0,133.465111458,153.213358443,50.2390679993,44.7892888803,64.8557516987
29,150.0,150.0,110.520247605,172.740245672,293.204335004,159.68195865
30,148.21460189,150.0,130.547225451,357.899005242,271.676609995,212.783841368
31,147.802851513,150.0,134.329524253,369.569823992,285.831466158,224.307495259
32,130.183759091,150.0,137.579324722,257.380000264,278.849083749,157.609890421
33,129.721993995,150.0,104.651594762,251.111914784,375.724517442,167.274750513
34,131.397550106,150.0,143.946394787,250.447704813,270.398463597,168.153481263
35,127.645266761,150.0,135.48591258,227.288864116,249.903251074,157.083982934
36,144.309274555,150.0,130.92241523,304.373906898,254.401951633,201.964928308
37,142.218535058,150.0,132.898145954,307.249227406,267.505686125,205.759924278
